x0,y0,x1,y1
0.650491,0.687527,0.175413,0.0447295
0.823696,0.787527,0.348618,-0.0552705
1.0237,0.787527,0.521823,-0.155271
1.1969,0.687527,0.695028,-0.255271
1.37011,0.587527,0.795028,-0.428476
1.54331,0.487527,0.795028,-0.628476
1.71652,0.387527,0.695028,-0.801681
1.88972,0.287527,0.521823,-0.901681
2.06293,0.187527,0.321823,-0.901681
2.16293,0.014322,0.148618,-0.801681
2.16293,-0.185678,-0.0245869,-0.701681
2.06293,-0.358883,-0.197792,-0.601681
1.96293,-0.532088,-0.370997,-0.501681
1.78972,-0.632088,-0.470997,-0.328476
1.58972,-0.632088,-0.470997,-0.128476
1.41652,-0.532088,-0.470997,0.0715244
1.31652,-0.358883,-0.470997,0.271524
1.31652,-0.158883,-0.370997,0.444729
1.41652,0.014322,-0.197792,0.544729
1.58972,0.114322,0.00220802,0.544729
1.78972,0.114322,0.202208,0.544729
1.98972,0.114322,0.375413,0.644729
2.16293,0.014322,0.575413,0.644729
2.26293,-0.158883,0.748618,0.544729
2.36293,-0.332088,0.921823,0.444729
2.46293,-0.505293,1.02182,0.271524
2.56293,-0.678498,1.02182,0.0715244
2.66293,-0.851703,0.921823,-0.101681
2.83613,-0.951703,0.821823,-0.274886
2.93613,-1.12491,0.821823,-0.474886
2.93613,-1.32491,0.821823,-0.674886
2.83613,-1.49811,0.721823,-0.848091
2.66293,-1.59811,0.621823,-1.0213
2.46293,-1.59811,0.621823,-1.2213
2.28972,-1.69811,0.521823,-1.3945
2.08972,-1.69811,0.348618,-1.4945
1.88972,-1.69811,0.175413,-1.5945
1.71652,-1.59811,0.00220802,-1.6945
1.61652,-1.42491,-0.197792,-1.6945
1.61652,-1.22491,-0.397792,-1.6945
1.71652,-1.0517,-0.597792,-1.6945
1.88972,-0.951703,-0.797792,-1.6945
2.08972,-0.951703,-0.997792,-1.6945
2.26293,-1.0517,-1.171,-1.5945
2.36293,-1.22491,-1.3442,-1.4945
2.36293,-1.42491,-1.5442,-1.4945
2.26293,-1.59811,-1.71741,-1.3945
2.08972,-1.69811,-1.91741,-1.3945
1.88972,-1.69811,-2.09061,-1.2945
1.71652,-1.59811,-2.29061,-1.2945
1.61652,-1.42491,-2.46382,-1.3945
